row,radius_mean,texture_mean,perimeter_mean,area_mean,smoothness_mean,compactness_mean,concavity_mean,concave points_mean,symmetry_mean,fractal_dimension_mean,radius_se,texture_se,perimeter_se,area_se,smoothness_se,compactness_se,concavity_se,concave points_se,symmetry_se,fractal_dimension_se,radius_worst,texture_worst,perimeter_worst,area_worst,smoothness_worst,compactness_worst,concavity_worst,concave points_worst,symmetry_worst,fractal_dimension_worst
radius_se,0.679090388,0.275868676,0.691765014,0.732562227,0.301467098,0.497473446,0.631924822,0.698049834,0.303379263,0.000110995,1,0.213247337,0.972793677,0.951830112,0.16451422,0.356064576,0.332357538,0.513346441,0.240567362,0.227753533,0.715065195,0.194798557,0.719683804,0.751548476,0.141918553,0.287103166,0.380584635,0.531062328,0.09454283,0.049559432
texture_se,-0.097317443,0.386357623,-0.086761078,-0.066280214,0.068406448,0.046204831,0.076218348,0.021479582,0.128052926,0.164173966,0.213247337,1,0.223170729,0.111567247,0.397242853,0.231699699,0.194998464,0.2302834,0.41162068,0.279722748,-0.111690313,0.409002766,-0.102241922,-0.083194989,-0.073657659,-0.092439354,-0.068956221,-0.119637523,-0.128214758,-0.045654569
perimeter_se,0.674171616,0.281673115,0.69313489,0.726628328,0.296091933,0.548905265,0.660390787,0.710649872,0.313892761,0.039829932,0.972793677,0.223170729,1,0.937655407,0.151075331,0.416322368,0.362481582,0.556264084,0.266487092,0.244142773,0.697200593,0.200370854,0.72103131,0.730712973,0.130054392,0.341919445,0.418898816,0.554897231,0.109930434,0.085432572
area_se,0.735863663,0.259844987,0.744982694,0.800085921,0.246552432,0.455652852,0.617426806,0.69029854,0.223970219,-0.090170248,0.951830112,0.111567247,0.937655407,1,0.075150338,0.284840057,0.270894726,0.415729568,0.13410898,0.127070903,0.757373189,0.196496649,0.761212636,0.811407961,0.125389431,0.283256538,0.385100136,0.538166314,0.074126292,0.017539295
smoothness_se,-0.222600125,0.006613777,-0.202694026,-0.166776667,0.332375443,0.135299268,0.098563746,0.027653308,0.187321165,0.401964425,0.16451422,0.397242853,0.151075331,0.075150338,1,0.336696081,0.26868476,0.328429499,0.413506125,0.427374207,-0.23069071,-0.074742965,-0.217303755,-0.182195478,0.314457456,-0.055558139,-0.058298387,-0.102006796,-0.107342098,0.101480315
compactness_se,0.20599998,0.191974611,0.250743681,0.212582551,0.318943297,0.73872179,0.670278825,0.49042425,0.421659147,0.559836691,0.356064576,0.231699699,0.416322368,0.284840057,0.336696081,1,0.801268343,0.744082668,0.394712835,0.803268818,0.204607166,0.143002583,0.26051584,0.199371329,0.227394232,0.678780354,0.639146698,0.483208327,0.277878431,0.590972763
concavity_se,0.194203623,0.143293077,0.228082345,0.20766006,0.24839568,0.570516871,0.691270208,0.439167068,0.342627023,0.446630322,0.332357538,0.194998464,0.362481582,0.270894726,0.26868476,0.801268343,1,0.771803995,0.309428578,0.727372184,0.186903516,0.100240984,0.226680426,0.188352652,0.168481321,0.484857801,0.662564134,0.440472263,0.197787822,0.439329269
concave points_se,0.376168956,0.163851025,0.407216916,0.372320282,0.380675691,0.642261851,0.683259917,0.615634131,0.393297872,0.341198044,0.513346441,0.2302834,0.556264084,0.415729568,0.328429499,0.744082668,0.771803995,1,0.312780223,0.611044139,0.358126669,0.08674121,0.394999252,0.342271162,0.215350597,0.452888377,0.549592375,0.602449606,0.143115669,0.310654551
symmetry_se,-0.104320881,0.009127168,-0.081629327,-0.072496588,0.200774376,0.229976591,0.178009208,0.095350787,0.449136542,0.345007397,0.240567362,0.41162068,0.266487092,0.13410898,0.413506125,0.394712835,0.309428578,0.312780223,1,0.369078083,-0.128120769,-0.07747342,-0.103753044,-0.110342743,-0.0126618,0.060254879,0.037119049,-0.030413396,0.389402485,0.078079476
fractal_dimension_se,-0.042641269,0.05445752,-0.005523391,-0.019886963,0.283606699,0.507318127,0.449300749,0.257583746,0.331786146,0.688131577,0.227753533,0.279722748,0.244142773,0.127070903,0.427374207,0.803268818,0.727372184,0.611044139,0.369078083,1,-0.037487618,-0.003195029,-0.001000398,-0.022736147,0.170568316,0.390158842,0.379974661,0.215204013,0.111093956,0.591328066
radius_worst,0.969538973,0.352572947,0.969476363,0.962746086,0.213120142,0.535315398,0.688236408,0.830317631,0.185727753,-0.253691495,0.715065195,-0.111690313,0.697200593,0.757373189,-0.23069071,0.204607166,0.186903516,0.358126669,-0.128120769,-0.037487618,1,0.359920754,0.993707916,0.984014564,0.216574431,0.475820037,0.573974708,0.787423852,0.243529204,0.093491979
texture_worst,0.297007644,0.912044589,0.303038372,0.287488627,0.036071799,0.248132833,0.299878889,0.292751713,0.090650688,-0.051269202,0.194798557,0.409002766,0.200370854,0.196496649,-0.074742965,0.143002583,0.100240984,0.08674121,-0.07747342,-0.003195029,0.359920754,1,0.365098245,0.345842283,0.225429415,0.360832339,0.368365607,0.35975461,0.233027461,0.219122425
perimeter_worst,0.965136514,0.358039575,0.970386887,0.959119574,0.238852626,0.590210428,0.729564917,0.855923128,0.219168559,-0.205151211,0.719683804,-0.102241922,0.72103131,0.761212636,-0.217303755,0.26051584,0.226680426,0.394999252,-0.103753044,-0.001000398,0.993707916,0.365098245,1,0.977578091,0.236774604,0.52940769,0.61834408,0.816322102,0.269492769,0.138956862
area_worst,0.94108246,0.343545947,0.941549808,0.959213326,0.206718363,0.509603806,0.675987231,0.80962962,0.177193377,-0.231854451,0.751548476,-0.083194989,0.730712973,0.811407961,-0.182195478,0.199371329,0.188352652,0.342271162,-0.110342743,-0.022736147,0.984014564,0.345842283,0.977578091,1,0.209145334,0.438296284,0.543330525,0.747418802,0.209145508,0.079647034
smoothness_worst,0.11961614,0.077503359,0.150549404,0.123522939,0.805324195,0.565541166,0.448822038,0.452753054,0.426675026,0.504942075,0.141918553,-0.073657659,0.130054392,0.125389431,0.314457456,0.227394232,0.168481321,0.215350597,-0.0126618,0.170568316,0.216574431,0.225429415,0.236774604,0.209145334,1,0.568186517,0.518523293,0.547690903,0.49383833,0.617624192
compactness_worst,0.413462823,0.277829592,0.455774228,0.390410309,0.472468444,0.86580904,0.754968016,0.667453677,0.473200013,0.458798157,0.287103166,-0.092439354,0.341919445,0.283256538,-0.055558139,0.678780354,0.484857801,0.452888377,0.060254879,0.390158842,0.475820037,0.360832339,0.52940769,0.438296284,0.568186517,1,0.892260899,0.801080365,0.614440501,0.810454856
concavity_worst,0.526911462,0.301025224,0.563879263,0.51260592,0.434925715,0.81627525,0.884102639,0.752399498,0.433721008,0.346233876,0.380584635,-0.068956221,0.418898816,0.385100136,-0.058298387,0.639146698,0.662564134,0.549592375,0.037119049,0.379974661,0.573974708,0.368365607,0.61834408,0.543330525,0.518523293,0.892260899,1,0.85543386,0.532519729,0.686510921
concave points_worst,0.744214198,0.295315843,0.771240789,0.722016626,0.503053353,0.815573224,0.861323034,0.910155314,0.430296611,0.175325449,0.531062328,-0.119637523,0.554897231,0.538166314,-0.102006796,0.483208327,0.440472263,0.602449606,-0.030413396,0.215204013,0.787423852,0.35975461,0.816322102,0.747418802,0.547690903,0.801080365,0.85543386,1,0.502528494,0.511114146
symmetry_worst,0.163953335,0.10500791,0.18911504,0.143569914,0.394309482,0.51022343,0.409464127,0.375744145,0.699825798,0.334018684,0.09454283,-0.128214758,0.109930434,0.074126292,-0.107342098,0.277878431,0.197787822,0.143115669,0.389402485,0.111093956,0.243529204,0.233027461,0.269492769,0.209145508,0.49383833,0.614440501,0.532519729,0.502528494,1,0.537848206
fractal_dimension_worst,0.007065886,0.119205351,0.05101853,0.003737597,0.499316369,0.687382323,0.514929891,0.368661134,0.438413498,0.767296779,0.049559432,-0.045654569,0.085432572,0.017539295,0.101480315,0.590972763,0.439329269,0.310654551,0.078079476,0.591328066,0.093491979,0.219122425,0.138956862,0.079647034,0.617624192,0.810454856,0.686510921,0.511114146,0.537848206,1
